Polish Title,Original Title,Rating,Votes,Genre
Spider-Man: Poprzez multiwersum,Spider-Man: Across the Spider-Verse2023,7.58,18017,typAnimacja/Akcja/Sci-Fi
Jeniec: Tak daleko jak nogi poniosą,So weit die Füße tragen2001,7.57,74348,typDramat/Wojenny
Mój sąsiad Totoro,Tonari no Totoro1988,7.57,67915,typFamilijny/Anime
Duma i uprzedzenie,Pride & Prejudice2005,7.57,168087,typKostiumowy/Melodramat
Jojo Rabbit,2019,7.57,109386,typDramat/Komedia/Wojenny
Chce się żyć,2013,7.56,121698,typDramat
Wyznania gejszy,Memoirs of a Geisha2005,7.56,186048,typMelodramat
Jutro będziemy szczęśliwi,Demain tout commence2016,7.56,92255,typDramat/Komedia
Epoka lodowcowa,Ice Age2002,7.56,492234,typAnimacja/Komedia/Przygodowy
Aż poleje się krew,There Will Be Blood2007,7.56,88118,typDramat obyczajowy
Noc na Ziemi,Night on Earth1991,7.55,43033,typDramat/Komedia
Diuna,Dune2021,7.55,126909,typSci-Fi
Terminator 2: Dzień sądu,Terminator 2: Judgment Day1991,7.55,260459,typAkcja/Sci-Fi
Gwiezdne wojny: Część III - Zemsta Sithów,Star Wars: Episode III - Revenge of the Sith2005,7.55,254577,typPrzygodowy/Sci-Fi
Do utraty sił,Southpaw2015,7.55,153985,typDramat/Sportowy
Hair,1979,7.55,61323,typMusical
Matrix,The Matrix1999,7.55,827224,typAkcja/Sci-Fi
Dziecko Rosemary,Rosemary's Baby1968,7.55,147236,typHorror/Psychologiczny
Baraka,1992,7.55,25284,typDokumentalny
Dyktator,The Great Dictator1940,7.55,37362,typDramat/Komedia
Motylek,Papillon1973,7.55,34186,typBiograficzny/Dramat/Przygodowy
"Czarny kot, biały kot","Crna mačka, beli mačor1998",7.55,60649,typKomedia rom./Muzyczny
Zaplątani,Tangled2010,7.55,220031,typAnimacja/Familijny/Komedia/Musical
Sherlock Holmes: Gra cieni,Sherlock Holmes: A Game of Shadows2011,7.55,275289,typKryminał/Przygodowy
Sól ziemi,Le sel de la terre2014,7.54,20077,typDokumentalny
Kwiat pustyni,Desert Flower2009,7.54,132371,typBiograficzny/Dramat
Człowiek słoń,The Elephant Man1980,7.54,50240,typBiograficzny/Dramat
Kabaret,Cabaret1972,7.54,35436,typDramat/Musical
Siła i honor,Men of Honor2000,7.54,86211,typBiograficzny/Dramat
Choć goni nas czas,The Bucket List2007,7.54,254398,typDramat/Komedia
Twardowsky 2.0,2016,7.54,58087,typSci-Fi/Krótkometrażowy
Amores perros,2000,7.54,69741,typDramat/Thriller
Tożsamość Bourne'a,The Bourne Identity2002,7.54,237075,typSensacyjny
Hobbit: Pustkowie Smauga,The Hobbit: The Desolation of Smaug2013,7.54,319668,typFantasy/Przygodowy
Pan życia i śmierci,Lord of War2005,7.54,309944,typDramat
Znachor,1981,7.54,144707,typObyczajowy
Obcy - decydujące starcie,Aliens1986,7.53,205743,typHorror/Sci-Fi
Harry Potter i Czara Ognia,Harry Potter and the Goblet of Fire2005,7.53,408342,typFamilijny/Fantasy/Przygodowy
Polowanie na Czerwony Październik,The Hunt for Red October1990,7.53,120425,typSensacyjny
Wichry namiętności,Legends of the Fall1994,7.53,97039,typMelodramat
Słaby punkt,Fracture2007,7.53,163410,typThriller/Dramat sądowy
Jabłka Adama,Adams æbler2005,7.53,87932,typDramat/Czarna komedia
Sztuka spadania,2004,7.53,88108,typAnimacja/Fantasy/Krótkometrażowy/Groteska filmowa
Wielkie piękno,La grande bellezza2013,7.53,71120,typDramat/Komedia
To nie jest kraj dla starych ludzi,No Country for Old Men2007,7.53,237881,typDramat/Thriller
WALL·E,2008,7.53,296171,typAnimacja/Familijny/Sci-Fi
Miasto gniewu,Crash2004,7.53,150326,typDramat
Obywatel Kane,Citizen Kane1941,7.53,56856,typDramat
Oldboy,Oldeuboi2003,7.53,87878,typThriller
Jestem Bogiem,Limitless2011,7.53,341143,typThriller/Sci-Fi
Paperman,2012,7.53,69209,typAnimacja/Komedia/Krótkometrażowy
Strażnicy Galaktyki: Volume 3,Guardians of the Galaxy Vol. 32023,7.52,36385,typAkcja/Sci-Fi
Logan: Wolverine,Logan2017,7.52,168079,typDramat/Akcja/Sci-Fi
Marsjanin,The Martian2015,7.52,279762,typSci-Fi
"Tamte dni, tamte noce",Call Me by Your Name2017,7.52,120661,typMelodramat
Billy Elliot,2000,7.52,146363,typDramat/Komedia/Muzyczny
Ścigany,The Fugitive1993,7.52,129436,typSensacyjny
Człowiek ringu,Cinderella Man2005,7.52,82968,typBiograficzny/Dramat
Był sobie pies,A Dog's Purpose2017,7.52,64731,typFamilijny/Komedia
Brudny Harry,Dirty Harry1971,7.52,81733,typKryminał/Sensacyjny
To wspaniałe życie,It's a Wonderful Life1946,7.52,24620,typDramat/Fantasy/Świąteczny
Cyrk motyli,The Butterfly Circus2009,7.52,52990,typDramat/Krótkometrażowy
21 gramów,21 Grams2003,7.52,145681,typKryminał/Thriller
Snajper,American Sniper2014,7.52,247503,typBiograficzny/Dramat/Wojenny
Podaj dalej,Pay It Forward2000,7.52,174477,typDramat
Marzyciel,Finding Neverland2004,7.52,252984,typDramat
Fighter,The Fighter2010,7.52,109701,typBiograficzny/Dramat/Sportowy
Cast Away - poza światem,Cast Away2000,7.51,582637,typDramat
Sugar Man,Searching for Sugar Man2012,7.51,70388,typBiograficzny/Dokumentalny/Muzyczny
